name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Jalu,12070,Valid,L6,150000,Found,1/1/2000 0:00,27.95833,21.68333,"(27.95833, 21.68333)"
Magura,15388,Valid,"Iron, IAB-MG",150000,Found,01/01/1840 12:00:00 AM,49.33333,19.48333,"(49.33333, 19.48333)"
McKinney,15463,Valid,L4,150000,Found,01/01/1870 12:00:00 AM,33.18333,-96.71667,"(33.18333, -96.71667)"
Tres Castillos,24047,Valid,"Iron, ungrouped",150000,Found,1/1/1992 0:00,29.47,-105.8,"(29.47, -105.8)"
Montferré,16727,Valid,H5,149000,Fell,1/1/1923 0:00,43.39056,1.9625,"(43.39056, 1.9625)"
Orange River (iron),18023,Valid,"Iron, IIIAB",148800,Found,01/01/1855 12:00:00 AM,-30,25,"(-30.0, 25.0)"
Camp Wood,51830,Valid,"Iron, IIIAB",148000,Found,,29.7725,-99.875,"(29.7725, -99.875)"
Glorieta Mountain,10935,Valid,"Pallasite, PMG-an",148000,Found,01/01/1884 12:00:00 AM,35.6,-105.8,"(35.6, -105.8)"
Gilgoin,10915,Valid,H5,147000,Found,01/01/1889 12:00:00 AM,-30.38333,147.2,"(-30.38333, 147.2)"
Wichita County,24257,Valid,"Iron, IAB-MG",145000,Found,01/01/1836 12:00:00 AM,34.06667,-98.91667,"(34.06667, -98.91667)"
Molina,16715,Valid,H5,144000,Fell,01/01/1858 12:00:00 AM,38.11667,-1.16667,"(38.11667, -1.16667)"
El Sampal,7817,Valid,"Iron, IIIAB",142000,Found,1/1/1973 0:00,-44.53333,-70.36667,"(-44.53333, -70.36667)"
Keyes,12287,Valid,L6,142000,Found,1/1/1939 0:00,36.71667,-102.5,"(36.71667, -102.5)"
Tambo Quemado,23797,Valid,"Iron, IIIAB",141000,Found,1/1/1950 0:00,-14.66667,-74.5,"(-14.66667, -74.5)"
Ysleta,30375,Valid,"Iron, ungrouped",140700,Found,1/1/1914 0:00,31.65,-106.18333,"(31.65, -106.18333)"
Selma,23486,Valid,H4,140600,Found,1/1/1906 0:00,32.4,-87,"(32.4, -87.0)"
Huizopa,11985,Valid,"Iron, IVA",140000,Found,1/1/1907 0:00,28.9,-108.56667,"(28.9, -108.56667)"
Ider,11999,Valid,"Iron, IIIAB",140000,Found,1/1/1957 0:00,34.68333,-85.65,"(34.68333, -85.65)"
Korra Korrabes,12347,Valid,H3,140000,Found,1/1/1996 0:00,-25.2,18.08333,"(-25.2, 18.08333)"
Brainard,5131,Valid,"Iron, IIIAB",138300,Found,1/1/1978 0:00,41.15333,-96.955,"(41.15333, -96.955)"
Derrick Peak A78009,6685,Valid,"Iron, IIAB",138100,Found,1/1/1978 0:00,-80.06667,156.38333,"(-80.06667, 156.38333)"
Babb's Mill (Blake's Iron),4915,Valid,"Iron, ungrouped",136000,Found,01/01/1876 12:00:00 AM,36.3,-82.88333,"(36.3, -82.88333)"
Cape of Good Hope,5261,Valid,"Iron, IVB",136000,Found,01/01/1793 12:00:00 AM,-33.5,26,"(-33.5, 26.0)"
Kesen,12286,Valid,H4,135000,Fell,01/01/1850 12:00:00 AM,38.98333,141.61667,"(38.98333, 141.61667)"
Colomera,5404,Valid,"Iron, IIE",134000,Found,1/1/1912 0:00,37.43333,-3.65,"(37.43333, -3.65)"
Carnegie,5278,Valid,L6,132700,Found,1/1/1963 0:00,35.16667,-98.64389,"(35.16667, -98.64389)"
Araslanovo,2324,Valid,L/LL5,132000,Found,1/1/1973 0:00,55.14167,48.2,"(55.14167, 48.2)"
Karavannoe,56567,Valid,"Pallasite, PES",132000,Found,,57.78117,47.67967,"(57.78117, 47.67967)"
Yenberrie,30361,Valid,"Iron, IAB-MG",132000,Found,1/1/1918 0:00,-14.25,132.01667,"(-14.25, 132.01667)"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800,Fell,1/1/1995 0:00,45.5,119.03333,"(45.5, 119.03333)"
Chebankol,5335,Valid,"Iron, IAB-sHL",127760,Found,1/1/1938 0:00,53.66667,88,"(53.66667, 88.0)"
Ozona,18066,Valid,H6,127500,Found,1/1/1929 0:00,30.73333,-101.3,"(30.73333, -101.3)"
Ensisheim,10039,Valid,LL6,127000,Fell,12/23/1491 12:00:00 AM,47.86667,7.35,"(47.86667, 7.35)"
Carthage,5282,Valid,"Iron, IIIAB",127000,Found,01/01/1840 12:00:00 AM,36.26667,-85.98333,"(36.26667, -85.98333)"
Dhofar 005,6704,Valid,L6,125500,Found,1/1/2000 0:00,18.16667,54.16667,"(18.16667, 54.16667)"
Jiddat al Harasis 091,12150,Valid,L5,123374,Found,1/1/2002 0:00,19.69362,56.65432,"(19.69362, 56.65432)"
Bur-Gheluai,5169,Valid,H5,120000,Fell,1/1/1919 0:00,5,48,"(5.0, 48.0)"
Santiago Papasquiero,23169,Valid,"Iron, ungrouped",119500,Found,1/1/1958 0:00,24.5,-106,"(24.5, -106.0)"
Youanmi,30373,Valid,"Iron, IIIAB",118400,Found,1/1/1917 0:00,-29.5,118.75,"(-29.5, 118.75)"
Duketon,7740,Valid,"Iron, IIIAB",118300,Found,1/1/1948 0:00,-27.5,122.36667,"(-27.5, 122.36667)"
Bencubbin,5014,Valid,CBa,118000,Found,1/1/1930 0:00,-30.75,117.78333,"(-30.75, 117.78333)"
Scurry,23468,Valid,H5,118000,Found,1/1/1937 0:00,32.5,-101,"(32.5, -101.0)"
Para de Minas,18099,Valid,"Iron, IVA",116300,Found,1/1/1934 0:00,-19.86667,-44.61667,"(-19.86667, -44.61667)"
Cleveland,5379,Valid,"Iron, IIIAB",115000,Found,01/01/1860 12:00:00 AM,34.88333,-84.78333,"(34.88333, -84.78333)"
Tafassasset,23779,Valid,CR-an,114000,Found,1/1/2000 0:00,20.76333,10.44167,"(20.76333, 10.44167)"
Caperr,5263,Valid,"Iron, IIIAB",113900,Found,01/01/1869 12:00:00 AM,-45.28333,-70.48333,"(-45.28333, -70.48333)"
Buenaventura,5162,Valid,"Iron, IIIAB",113600,Found,1/1/1969 0:00,29.8,-107.55,"(29.8, -107.55)"
Gundaring,11452,Valid,"Iron, IIIAB",112500,Found,1/1/1937 0:00,-33.3,117.66667,"(-33.3, 117.66667)"
Oakley (iron),17972,Valid,"Iron, IIIF",111000,Found,1/1/1926 0:00,42.33333,-113.7,"(42.33333, -113.7)"
Florey,10112,Valid,H6,110800,Found,1/1/1978 0:00,32.5225,-102.705,"(32.5225, -102.705)"
Etosha,10061,Valid,"Iron, IC",110700,Found,1/1/1970 0:00,-18.5,16,"(-18.5, 16.0)"
Lewis Cliff 85320,12790,Valid,H5,110224,Found,1/1/1985 0:00,-84.26223,161.41628,"(-84.26223, 161.41628)"
Mount Tazerzait,16804,Valid,L5,110000,Fell,1/1/1991 0:00,18.7,4.8,"(18.7, 4.8)"
Sulagiri,48951,Valid,LL6,110000,Fell,1/1/2008 0:00,12.66667,78.03333,"(12.66667, 78.03333)"
Lenarto,12763,Valid,"Iron, IIIAB",108500,Found,01/01/1814 12:00:00 AM,49,21,"(49.0, 21.0)"
Abee,6,Valid,EH4,107000,Fell,1/1/1952 0:00,54.21667,-113,"(54.21667, -113.0)"
Elbogen,7823,Valid,"Iron, IID",107000,Fell,12/24/1399 12:00:00 AM,50.18333,12.73333,"(50.18333, 12.73333)"
Zhovtnevyi,30407,Valid,H6,107000,Fell,1/1/1938 0:00,47.58333,37.25,"(47.58333, 37.25)"
Tiberrhamine,23985,Valid,L6,107000,Found,1/1/1967 0:00,28.11667,0.53333,"(28.11667, 0.53333)"
Cook 001,5421,Valid,H5,105000,Found,1/1/1989 0:00,-30.33333,130.53333,"(-30.33333, 130.53333)"
Faith,10071,Valid,H5,105000,Found,1/1/1952 0:00,45.33333,-102.08333,"(45.33333, -102.08333)"
Chico,5346,Valid,L6,104800,Found,1/1/1954 0:00,36.5,-104.2,"(36.5, -104.2)"
Colby (Wisconsin),5395,Valid,L6,104000,Fell,1/1/1917 0:00,44.9,-90.28333,"(44.9, -90.28333)"
Juncal,12211,Valid,"Iron, IIIAB",104000,Found,01/01/1866 12:00:00 AM,-26,-69.25,"(-26.0, -69.25)"
Molong,16716,Valid,"Pallasite, PMG",104000,Found,1/1/1912 0:00,-33.28333,148.88333,"(-33.28333, 148.88333)"
Udei Station,24101,Valid,"Iron, IAB-ung",103000,Fell,1/1/1927 0:00,7.95,8.08333,"(7.95, 8.08333)"
Rifle,22605,Valid,"Iron, IAB-MG",102700,Found,1/1/1948 0:00,38.51667,-107.83333,"(38.51667, -107.83333)"
Seeläsgen,23474,Valid,"Iron, IAB-MG",102000,Found,01/01/1847 12:00:00 AM,52.26667,15.55,"(52.26667, 15.55)"
Sevrukovo,23509,Valid,L5,101000,Fell,01/01/1874 12:00:00 AM,50.61667,36.6,"(50.61667, 36.6)"
Chelyabinsk,57165,Valid,LL5,100000,Fell,1/1/2013 0:00,54.81667,61.11667,"(54.81667, 61.11667)"
Chergach ,47347,Valid,H5,100000,Fell,1/1/2007 0:00,23.69639,-5.01472,"(23.69639, -5.01472)"
Gujba,11449,Valid,CBa,100000,Fell,1/1/1984 0:00,11.49167,11.65833,"(11.49167, 11.65833)"
Juancheng,12203,Valid,H5,100000,Fell,1/1/1997 0:00,35.5,115.41667,"(35.5, 115.41667)"
Kidairat,12300,Valid,H6,100000,Fell,1/1/1983 0:00,14,28,"(14.0, 28.0)"
Murchison,16875,Valid,CM2,100000,Fell,1/1/1969 0:00,-36.61667,145.2,"(-36.61667, 145.2)"
Paranaiba,18103,Valid,L6,100000,Fell,1/1/1956 0:00,-19.13333,-51.66667,"(-19.13333, -51.66667)"
Tamdakht,48691,Valid,H5,100000,Fell,1/1/2008 0:00,31.16333,-7.015,"(31.16333, -7.015)"
Agoudal,57354,Valid,"Iron, IIAB",100000,Found,1/1/2000 0:00,31.98457,-5.51528,"(31.98457, -5.51528)"
Anyujskij,2312,Valid,"Iron, IIAB",100000,Found,1/1/1981 0:00,66.9,164.2,"(66.9, 164.2)"
Bou Azarif,53812,Valid,H5,100000,Found,1/1/2010 0:00,31.15643,-5.15262,"(31.15643, -5.15262)"
Budulan,5161,Valid,Mesosiderite-B4,100000,Found,1/1/1962 0:00,50.56667,114.9,"(50.56667, 114.9)"
Cook 007,5427,Valid,H4,100000,Found,1/1/1989 0:00,-30.61667,130.41667,"(-30.61667, 130.41667)"
